Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.15      6.56     6.56                             mcount
  8.45      8.34     1.78   615843     0.00     0.00  xform::rowmult(int, float *)
  7.83      9.99     1.65    64772     0.03     0.06  ray::transform(xform &)
  5.22     11.09     1.10    48579     0.02     0.10  sphere::intersect(ray, intersection &)
  4.46     12.03     0.94    16193     0.06     0.21  poly::intersect(ray, intersection &)
  4.46     12.97     0.94     8695     0.11     0.25  fast_texture::value(point &, point &, point &, model &, int)
  3.66     13.74     0.77                             sqrt
  3.42     14.46     0.72                             sincos
  2.90     15.07     0.61    16195     0.04     0.56  trace(ray &, model &, int)
  2.66     15.63     0.56     9768     0.06     0.14  poly::contains(point &)
  2.37     16.13     0.50        1   500.00 12189.65  render(object *, char *, int, int, int)
  2.28     16.61     0.48    64772     0.01     0.01  point::operator-(void)
  1.28     16.88     0.27    69327     0.00     0.00  point::operator+=(point &)
  1.23     17.14     0.26    12835     0.02     0.03  point::unit(void)
  1.19     17.39     0.25   215358     0.00     0.00  point::operator[](int)
  1.09     17.62     0.23   215358     0.00     0.00  point::ref(int)
  1.04     17.84     0.22   100618     0.00     0.00  point::mag2(void)
  0.76     18.00     0.16   109468     0.00     0.00  poly::get(int)
  0.71     18.15     0.15   109472     0.00     0.00  poly::ref(int)
  0.71     18.30     0.15    19128     0.01     0.01  malloc
  0.71     18.45     0.15    17420     0.01     0.01  insert
  0.66     18.59     0.14    21530     0.01     0.01  point::operator*=(float)
  0.62     18.72     0.13   215358     0.00     0.00  point::d(void)
  0.57     18.84     0.12    12835     0.01     0.01  point::operator-(void)
  0.57     18.96     0.12     4555     0.03     0.03  ray::at(float)
  0.52     19.07     0.11    48579     0.00     0.00  point::operator*(point &)
  0.52     19.18     0.11    21530     0.01     0.01  point::operator+=(point &)
  0.47     19.28     0.10    17478     0.01     0.02  free
  0.47     19.38     0.10     4140     0.02     0.02  ray::at(float)
  0.38     19.46     0.08    48582     0.00     0.00  object::next(void)
  0.38     19.54     0.08    14164     0.01     0.01  demote
  0.38     19.62     0.08     5235     0.02     0.02  point::operator*(float)
  0.38     19.70     0.08                             floor
  0.33     19.77     0.07    21530     0.00     0.00  point::mag2(void)
  0.33     19.84     0.07    21530     0.00     0.01  point::mag(void)
  0.33     19.91     0.07    17413     0.00     0.00  putfreehdr
  0.33     19.98     0.07     7500     0.01     0.01  point::operator*(float)
  0.28     20.04     0.06    12055     0.00     0.00  point::mag2(void)
  0.28     20.10     0.06     7496     0.01     0.01  point::operator*(float)
  0.28     20.16     0.06     5235     0.01     0.02  board_texture::value(point &, point &, point &, model &, int)
  0.28     20.22     0.06     4555     0.01     0.02  point::unit(void)
  0.28     20.28     0.06     3460     0.02     0.02  point::operator+(point &)
  0.24     20.33     0.05    17412     0.00     0.01  delete
  0.24     20.38     0.05     6920     0.01     0.01  point::operator*(float)
  0.24     20.43     0.05     2500     0.02     0.05  ppm_output::putpixel(int, int, point &)
  0.24     20.48     0.05                             exp
  0.19     20.52     0.04    12055     0.00     0.00  point::operator*=(float)
  0.19     20.56     0.04     7500     0.01     0.01  output::gamma(float)
  0.19     20.60     0.04     4555     0.01     0.01  point::operator-(void)
  0.19     20.64     0.04     3460     0.01     0.01  point::operator-(void)
  0.14     20.67     0.03    17421     0.00     0.00  getfreehdr
  0.14     20.70     0.03     7500     0.00     0.00  point::operator[](int)
  0.14     20.73     0.03     4555     0.01     0.02  point::operator-(point &)
  0.14     20.76     0.03     4140     0.01     0.02  point::operator-(point &)
  0.14     20.79     0.03     3460     0.01     0.01  point::operator-(void)
  0.14     20.82     0.03     3460     0.01     0.02  point::operator-(point &)
  0.14     20.85     0.03     2512     0.01     0.02  frandom
  0.09     20.87     0.02    12055     0.00     0.01  point::mag(void)
  0.09     20.89     0.02     5236     0.00     0.00  point::operator-(void)
  0.09     20.91     0.02                             .rem
  0.09     20.93     0.02                             fabs
  0.09     20.95     0.02                             log
  0.05     20.96     0.01    16194     0.00     0.00  object::next(void)
  0.05     20.97     0.01     7500     0.00     0.00  point::d(void)
  0.05     20.98     0.01     6920     0.00     0.00  point::ref(int)
  0.05     20.99     0.01     5235     0.00     0.00  object::get_texture(void)
  0.05     21.00     0.01     3460     0.00     0.00  point::operator+=(point &)
  0.05     21.01     0.01     3460     0.00     0.01  point::unit(void)
  0.05     21.02     0.01     2534     0.00     0.00  .udiv
  0.05     21.03     0.01     2512     0.00     0.00  _randomjunk
  0.05     21.04     0.01     2512     0.00     0.01  random
  0.05     21.05     0.01        1    10.00    10.00  close
  0.05     21.06     0.01        1    10.00    10.00  open
  0.00     21.06     0.00     8695     0.00     0.00  point::contract(void)
  0.00     21.06     0.00     7500     0.00     0.00  fputc
  0.00     21.06     0.00     7500     0.00     0.00  point::ref(int)
  0.00     21.06     0.00     6920     0.00     0.00  point::operator[](int)
  0.00     21.06     0.00     6920     0.00     0.00  point::d(void)
  0.00     21.06     0.00     3460     0.00     0.00  point::operator*=(float)
  0.00     21.06     0.00     3460     0.00     0.00  object::get_texture(void)
  0.00     21.06     0.00     3460     0.00     0.00  point::mag(void)
  0.00     21.06     0.00     2519     0.00     0.00  .urem
  0.00     21.06     0.00       50     0.00     0.00  ppm_output::flushrow(int)
  0.00     21.06     0.00       42     0.00     0.00  point::operator[](int)
  0.00     21.06     0.00       42     0.00     0.00  point::ref(int)
  0.00     21.06     0.00       21     0.00     0.00  xform::xform(xform &)
  0.00     21.06     0.00       17     0.00     0.00  texture::~texture(void)
  0.00     21.06     0.00       16     0.00     0.00  texture::texture(texture &)
  0.00     21.06     0.00       16     0.00     0.00  sbrk
  0.00     21.06     0.00       15     0.00     0.00  .umul
  0.00     21.06     0.00       15     0.00     0.03  morecore
  0.00     21.06     0.00       10     0.00     0.00  point::d(void)
  0.00     21.06     0.00        8     0.00     0.00  xform::xform(xform_types)
  0.00     21.06     0.00        7     0.00     0.00  texture::texture(point &, point &, point &, float)
  0.00     21.06     0.00        7     0.00     0.00  texture::dup(void)
  0.00     21.06     0.00        6     0.00     0.00  xform::xform(xform_types, point &)
  0.00     21.06     0.00        5     0.00     0.00  fast_texture::fast_texture(model &, texture &)
  0.00     21.06     0.00        5     0.00     0.00  light::at(void)
  0.00     21.06     0.00        5     0.00     0.00  light::i(void)
  0.00     21.06     0.00        5     0.00     0.00  texture::tune_texture(model &)
  0.00     21.06     0.00        4     0.00     0.00  fast_texture::fast_texture(fast_texture &)
  0.00     21.06     0.00        4     0.00     0.00  object::object(texture &)
  0.00     21.06     0.00        4     0.00     0.00  fast_texture::dup(void)
  0.00     21.06     0.00        4     0.00     0.00  output::flush(void)
  0.00     21.06     0.00        4     0.00     0.00  poly::set(int, point &)
  0.00     21.06     0.00        4     0.00     0.00  sphere::transform(xform &)
  0.00     21.06     0.00        4     0.00     0.00  object::tune_texture(model &)
  0.00     21.06     0.00        3     0.00     0.00  board_texture::~board_texture(void)
  0.00     21.06     0.00        3     0.00     0.00  object::append(object &)
  0.00     21.06     0.00        3     0.00     0.01  sphere::complete(void)
  0.00     21.06     0.00        3     0.00     0.00  poly::transform(xform &)
  0.00     21.06     0.00        2     0.00     0.00  board_texture::board_texture(texture &, texture &)
  0.00     21.06     0.00        2     0.00     0.00  board_texture::board_texture(board_texture &)
  0.00     21.06     0.00        2     0.00     0.00  xform::xform(xform_types, float)
  0.00     21.06     0.00        2     0.00     0.00  atoi
  0.00     21.06     0.00        2     0.00     0.01  on_exit
  0.00     21.06     0.00        2     0.00     0.00  strcmp
  0.00     21.06     0.00        2     0.00     0.00  strlen
  0.00     21.06     0.00        1     0.00    10.02  output::~output(void)
  0.00     21.06     0.00        1     0.00    10.04  ppm_output::ppm_output(char *, int, int)
  0.00     21.06     0.00        1     0.00     0.00  poly::poly(int, texture &)
  0.00     21.06     0.00        1     0.00    10.00  output::output(char *, char *, int, int)
  0.00     21.06     0.00        1     0.00     0.00  point::operator-=(point &)
  0.00     21.06     0.00        1     0.00     0.00  point::operator*=(float)
  0.00     21.06     0.00        1     0.00     0.00  point::operator+=(point &)
  0.00     21.06     0.00        1     0.00     0.04  _doprnt
  0.00     21.06     0.00        1     0.00    10.00  _endopen
  0.00     21.06     0.00        1     0.00     0.01  _findbuf
  0.00     21.06     0.00        1     0.00     0.00  _findiop
  0.00     21.06     0.00        1     0.00     0.01  _wrtchk
  0.00     21.06     0.00        1     0.00     0.00  _xflsbuf
  0.00     21.06     0.00        1     0.00     0.02  poly::complete(void)
